Insurer,Ward Class,Plan Type,Plan Name,Age,Premium in MA,Premium in Cash
Income,Private,Base,Enhanced IncomeShield Preferred,1,219,0
Income,Private,Base,Enhanced IncomeShield Preferred,2,219,0
Income,Private,Base,Enhanced IncomeShield Preferred,3,219,0
Income,Private,Base,Enhanced IncomeShield Preferred,4,219,0
Income,Private,Base,Enhanced IncomeShield Preferred,5,219,0
Income,Private,Base,Enhanced IncomeShield Preferred,6,219,0
Income,Private,Base,Enhanced IncomeShield Preferred,7,219,0
Income,Private,Base,Enhanced IncomeShield Preferred,8,219,0
Income,Private,Base,Enhanced IncomeShield Preferred,9,219,0
Income,Private,Base,Enhanced IncomeShield Preferred,10,219,0
Income,Private,Base,Enhanced IncomeShield Preferred,11,219,0
Income,Private,Base,Enhanced IncomeShield Preferred,12,219,0
Income,Private,Base,Enhanced IncomeShield Preferred,13,219,0
Income,Private,Base,Enhanced IncomeShield Preferred,14,219,0
Income,Private,Base,Enhanced IncomeShield Preferred,15,219,0
Income,Private,Base,Enhanced IncomeShield Preferred,16,219,0
Income,Private,Base,Enhanced IncomeShield Preferred,17,219,0
Income,Private,Base,Enhanced IncomeShield Preferred,18,219,0
Income,Private,Base,Enhanced IncomeShield Preferred,19,230,0
Income,Private,Base,Enhanced IncomeShield Preferred,20,249,0
Income,Private,Base,Enhanced IncomeShield Preferred,21,249,0
Income,Private,Base,Enhanced IncomeShield Preferred,22,249,0
Income,Private,Base,Enhanced IncomeShield Preferred,23,249,0
Income,Private,Base,Enhanced IncomeShield Preferred,24,249,0
Income,Private,Base,Enhanced IncomeShield Preferred,25,249,0
Income,Private,Base,Enhanced IncomeShield Preferred,26,267,0
Income,Private,Base,Enhanced IncomeShield Preferred,27,267,0
Income,Private,Base,Enhanced IncomeShield Preferred,28,267,0
Income,Private,Base,Enhanced IncomeShield Preferred,29,267,0
Income,Private,Base,Enhanced IncomeShield Preferred,30,267,0
Income,Private,Base,Enhanced IncomeShield Preferred,31,300,60
Income,Private,Base,Enhanced IncomeShield Preferred,32,300,60
Income,Private,Base,Enhanced IncomeShield Preferred,33,300,60
Income,Private,Base,Enhanced IncomeShield Preferred,34,300,60
Income,Private,Base,Enhanced IncomeShield Preferred,35,300,60
Income,Private,Base,Enhanced IncomeShield Preferred,36,300,73
Income,Private,Base,Enhanced IncomeShield Preferred,37,300,73
Income,Private,Base,Enhanced IncomeShield Preferred,38,300,73
Income,Private,Base,Enhanced IncomeShield Preferred,39,300,73
Income,Private,Base,Enhanced IncomeShield Preferred,40,300,73
Income,Private,Base,Enhanced IncomeShield Preferred,41,600,200
Income,Private,Base,Enhanced IncomeShield Preferred,42,600,200
Income,Private,Base,Enhanced IncomeShield Preferred,43,600,200
Income,Private,Base,Enhanced IncomeShield Preferred,44,600,200
